source_url,normalized_source_url,title,platform,author,published_date,access_date,stable_source_id
"https://sumaity.com/town/kanagawa/yokohama/totsuka_ku/higashitotsuka-eki/review/?page=4","https://sumaity.com/town/kanagawa/yokohama/totsuka_ku/higashitotsuka-eki/review/","【東戸塚駅の住みやすさ】クチコミ・街レビュー（神奈川県横浜市戸塚区）（4ページ目） - スマイティ","スマイティ","20代 男性（未婚）","2014-03-11","2026-03-11","No.4026"
"https://sumaity.com/town/kanagawa/yokohama/totsuka_ku/higashitotsuka-eki/review/?page=4","https://sumaity.com/town/kanagawa/yokohama/totsuka_ku/higashitotsuka-eki/review/","【東戸塚駅の住みやすさ】クチコミ・街レビュー（神奈川県横浜市戸塚区）（4ページ目） - スマイティ","スマイティ","20代 女性（未婚）","2014-03-23","2026-03-11","No.11071"
"https://sumaity.com/town/kanagawa/yokohama/hodogaya_ku/hodogaya-eki/review/?page=2","https://sumaity.com/town/kanagawa/yokohama/hodogaya_ku/hodogaya-eki/review/","【保土ケ谷駅の住みやすさ】クチコミ・街レビュー（神奈川県横浜市保土ケ谷区）（2ページ目）","スマイティ","50代 女性（未婚）","2015-04-19","2026-03-12","No.51037"
"https://sumaity.com/town/kanagawa/yokohama/hodogaya_ku/hodogaya-eki/review/?page=2","https://sumaity.com/town/kanagawa/yokohama/hodogaya_ku/hodogaya-eki/review/","【保土ケ谷駅の住みやすさ】クチコミ・街レビュー（神奈川県横浜市保土ケ谷区）（2ページ目）","スマイティ","30代 女性（未婚）","2014-12-19","2026-03-12","No.47774"
"https://sumaity.com/town/kanagawa/yokohama/hodogaya_ku/hodogaya-eki/review/?page=2","https://sumaity.com/town/kanagawa/yokohama/hodogaya_ku/hodogaya-eki/review/","【保土ケ谷駅の住みやすさ】クチコミ・街レビュー（神奈川県横浜市保土ケ谷区）（2ページ目）","スマイティ","～10代 男性（未婚）","2014-11-22","2026-03-12","No.45663"
"https://sumaity.com/town/kanagawa/yokohama/hodogaya_ku/hodogaya-eki/review/?page=2","https://sumaity.com/town/kanagawa/yokohama/hodogaya_ku/hodogaya-eki/review/","【保土ケ谷駅の住みやすさ】クチコミ・街レビュー（神奈川県横浜市保土ケ谷区）（2ページ目）","スマイティ","40代 女性（既婚）","2014-10-22","2026-03-12","No.43582"
"https://sumaity.com/town/kanagawa/yokohama/hodogaya_ku/hodogaya-eki/review/?page=2","https://sumaity.com/town/kanagawa/yokohama/hodogaya_ku/hodogaya-eki/review/","【保土ケ谷駅の住みやすさ】クチコミ・街レビュー（神奈川県横浜市保土ケ谷区）（2ページ目）","スマイティ","20代 男性（未婚）","2014-08-21","2026-03-12","No.36322"
"https://sumaity.com/town/kanagawa/yokohama/hodogaya_ku/hodogaya-eki/review/?page=2","https://sumaity.com/town/kanagawa/yokohama/hodogaya_ku/hodogaya-eki/review/","【保土ケ谷駅の住みやすさ】クチコミ・街レビュー（神奈川県横浜市保土ケ谷区）（2ページ目）","スマイティ","20代 男性（未婚）","2014-08-14","2026-03-12","No.35893"
"https://sumaity.com/town/kanagawa/yokohama/hodogaya_ku/hodogaya-eki/review/?page=2","https://sumaity.com/town/kanagawa/yokohama/hodogaya_ku/hodogaya-eki/review/","【保土ケ谷駅の住みやすさ】クチコミ・街レビュー（神奈川県横浜市保土ケ谷区）（2ページ目）","スマイティ","60代～ 男性（既婚）","2014-07-30","2026-03-12","No.33443"
"https://sumaity.com/town/kanagawa/yokohama/hodogaya_ku/hodogaya-eki/review/?page=2","https://sumaity.com/town/kanagawa/yokohama/hodogaya_ku/hodogaya-eki/review/","【保土ケ谷駅の住みやすさ】クチコミ・街レビュー（神奈川県横浜市保土ケ谷区）（2ページ目）","スマイティ","40代 男性（既婚）","2014-07-30","2026-03-12","No.33417"
"https://sumaity.com/town/kanagawa/yokohama/hodogaya_ku/hodogaya-eki/review/?page=2","https://sumaity.com/town/kanagawa/yokohama/hodogaya_ku/hodogaya-eki/review/","【保土ケ谷駅の住みやすさ】クチコミ・街レビュー（神奈川県横浜市保土ケ谷区）（2ページ目）","スマイティ","20代 男性（未婚）","2014-07-22","2026-03-12","No.32481"
"https://sumaity.com/town/kanagawa/yokohama/hodogaya_ku/hodogaya-eki/review/?page=2","https://sumaity.com/town/kanagawa/yokohama/hodogaya_ku/hodogaya-eki/review/","【保土ケ谷駅の住みやすさ】クチコミ・街レビュー（神奈川県横浜市保土ケ谷区）（2ページ目）","スマイティ","20代 男性（未婚）","2014-07-09","2026-03-12","No.30779"
